tns_name,repeater_name,ra,dec,gl,gb,exp_up,exp_low,bonsai_snr,bonsai_dm,snr_fitb,dm_fitb,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,flux,fluence,sub_num,width_fitb,sp_idx,sp_run,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,is_repeater,is_pcc_candidate,catalog
FRB20180917A,FRB20180814A,65.54,73.63,136.46,16.58,41.0,43.5,19.0,194.1,46.6,189.917,102.1,81.5,0.06095,0.008,3.2,46.0,2,0.0076,62.0,-67.0,770.5,531.1,639.7,908712.749,904687,0.516,1,0,2021
FRB20180918A,-9999,301.27,64.96,98.09,17.11,26.0,-9999.0,14.0,1454.1,24.4,1453.9882,1374.0,1367.9,0.00295,0.00146,1.45,4.1,0,0.00055,13.4,-15.5,800.2,419.8,617.6,289525.913,289401,0.535,0,0,2021
FRB20180919B,-9999,5.34,5.94,109.42,-56.14,10.7,-9999.0,16.1,558.0,18.8,560.2214,527.4,536.0,0.00098,0.0005,2.56,3.0,0,0.000408,4.4,-11.1,768.9,400.2,487.6,140499.114,141050,0.547,0,0,2021
FRB20180919A,FRB20180814A,65.54,73.63,136.46,16.58,41.0,43.5,13.4,190.9,14.6,188.85,101.0,80.5,0.02163,0.0045,0.58,3.1,0,0.00378,27.8,-179.0,484.6,400.2,432.6,442868.506,441402,0.527,1,0,2021
FRB20180920A,-9999,78.89,28.29,176.92,-5.87,11.3,-9999.0,13.5,562.9,20.2,555.66,394.9,324.9,0.01475,0.0091,0.86,8.5,0,0.00222,20.1,-26.3,787.4,435.9,585.9,884341.437,880985,0.528,0,0,2021
FRB20180920B,-9999,191.09,63.52,124.26,53.59,23.0,-9999.0,10.5,459.4,15.8,463.4,430.2,438.3,0.01081,0.00173,0.35,1.7,0,0.00233,12.3,-121.0,483.4,400.2,421.1,432568.567,431369,0.538,0,0,2021
FRB20180921A,-9999,28.92,5.05,151.09,-54.27,10.9,-9999.0,10.3,393.1,11.1,394.372,359.2,368.4,0.00393,0.0015,0.92,2.3,0,0.00114,1.0,-10.4,672.2,400.2,419.9,279028.153,279066,0.552,0,0,2021
FRB20180922A,-9999,342.29,69.67,112.62,9.29,31.0,-9999.0,24.5,562.9,32.4,555.687,414.4,341.5,0.00295,0.000313,2.6,7.7,0,0.000806,-4.0,-9.2,555.9,400.2,400.2,302315.045,340473,0.453,0,0,2021
FRB20180923A,-9999,327.61,71.92,109.81,13.83,39.0,23.0,16.1,218.4,24.3,219.4397,119.4,92.2,0.00197,0.000211,0.76,1.2,0,0.00015,18.2,-57.4,572.9,400.2,468.9,163961.351,163545,0.475,0,0,2021
FRB20180923D,-9999,169.08,48.75,156.94,61.62,20.0,-9999.0,48.1,328.4,91.0,329.3996,298.7,308.7,0.00098,0.0001144,2.4,2.2,0,0.0001,20.9,-92.7,524.4,400.2,448.0,167150.173,162937,0.477,0,0,2021
FRB20180923C,-9999,239.14,22.85,37.67,48.06,12.9,-9999.0,15.0,173.1,17.7,173.9839,144.9,146.5,0.00197,0.0005,0.89,1.37,0,0.00032,1.0,-10.2,675.6,400.2,420.5,325038.302,322841,0.481,0,0,2021
FRB20180924A,-9999,35.46,37.52,142.12,-21.96,15.8,-9999.0,18.2,1114.5,21.4,1116.5456,1047.3,1049.0,0.00295,0.00099,1.3,3.5,0,0.00087,6.5,-5.0,800.2,400.2,770.6,287463.174,286362,0.54,0,0,2021
FRB20180925A,-9999,74.93,77.99,134.29,21.05,57.0,47.0,11.3,236.2,13.7,237.742,167.1,159.0,0.01475,0.006,0.99,8.7,0,0.00452,-1.2,4.1,800.2,400.2,800.2,398511.617,397626,0.574,0,0,2021
FRB20180925B,-9999,145.45,20.99,210.38,46.52,10.1,-9999.0,12.0,668.0,16.1,667.866,628.2,637.4,0.0059,0.0014,0.76,2.7,0,0.00115,15.0,-41.5,606.9,400.2,479.6,261962.202,259610,0.583,0,0,2021
FRB20180928A,-9999,312.95,30.85,74.23,-8.58,12.1,-9999.0,37.7,250.7,66.0,252.7681,94.7,135.9,0.00295,0.0001475,1.34,2.5,0,0.000269,-2.93,-39.7,492.1,400.2,400.2,159235.574,154121,0.505,0,0,2021
FRB20181012B,-9999,206.33,64.15,113.44,51.97,21.0,-9999.0,11.8,713.3,16.1,715.189,681.7,689.4,0.00393,0.00026,0.49,1.44,0,0.00056,20.9,-154.0,483.9,400.2,428.3,334457.291,335001,0.462,0,0,2021
FRB20181013A,-9999,262.83,38.41,63.25,31.48,17.3,-9999.0,25.6,308.9,31.4,309.3055,261.2,270.7,0.00098,0.00056,2.81,3.5,0,0.000512,1.08,-5.2,800.2,400.2,443.7,141833.644,140442,0.549,0,0,2021
FRB20181013E,-9999,307.28,69.02,102.99,17.1,31.0,-9999.0,10.7,344.5,12.8,345.297,264.5,256.0,0.00295,0.0011,0.62,2.03,0,0.00086,-5.6,0.9,623.0,400.2,400.2,319659.367,319194,0.487,0,0,2021
FRB20181013B,-9999,97.18,52.04,162.93,17.78,19.0,-9999.0,11.7,284.7,29.9,277.507,191.7,173.0,0.11993,0.0656,0.56,21.0,0,0.0028,-0.5,-4.2,790.4,400.2,400.2,4069660.806,4061225,0.552,0,0,2021
FRB20181013C,-9999,146.07,34.1,191.21,49.48,13.3,-9999.0,12.6,1004.5,15.1,1005.766,967.2,980.1,0.00492,0.000435,0.44,1.64,0,0.00076,-3.7,-0.8,698.0,400.2,400.2,261701.004,262649,0.578,0,0,2021
FRB20181014A,-9999,46.01,63.33,137.18,4.19,27.0,-9999.0,18.2,1311.8,20.6,1314.8896,1128.2,1014.9,0.0059,0.0023,0.99,2.7,0,0.00205,3.7,0.5,800.2,456.0,800.2,258344.244,256698,0.44,0,0,2021
FRB20181014B,-9999,78.56,14.66,188.17,-13.82,14.1,-9999.0,20.9,888.0,26.2,887.972,785.4,737.4,0.00393,0.0011,0.65,1.88,0,0.00073,3.6,-9.0,800.2,400.2,487.5,304365.112,302169,0.515,0,0,2021
FRB20181014C,-9999,117.87,41.59,178.11,28.36,14.9,-9999.0,10.1,752.1,11.1,752.1671,692.3,689.1,0.00393,0.001,0.57,1.48,0,0.00079,18.0,-30.5,707.7,408.6,537.7,340330.863,355674,0.429,0,0,2021
FRB20181014D,-9999,216.04,-2.93,343.2,52.54,11.3,-9999.0,13.6,376.9,13.9,377.132,347.1,350.6,0.00197,0.0021,8.4,18.0,0,0.00172,0.4,-0.5,800.2,400.2,624.3,292258.322,291226,0.532,0,0,2021
FRB20181015A,-9999,175.76,83.58,125.18,33.25,106.0,97.0,11.1,567.7,13.3,568.8231,522.3,528.4,0.00197,0.0009,1.51,3.4,0,0.000738,0.0,-0.9,800.2,400.2,403.2,314700.447,314938,0.494,0,0,2021
FRB20181017B,-9999,237.76,78.5,113.05,34.93,58.0,60.0,12.6,304.1,18.6,307.369,263.7,269.9,0.01278,0.0043,1.06,6.5,0,0.00231,61.0,-77.0,704.8,499.3,593.2,622489.733,725945,0.417,0,0,2021
FRB20181017A,FRB20181017A,256.33,68.28,99.15,34.8,33.0,-9999.0,12.9,1268.1,22.4,1281.875,1239.0,1244.9,0.03736,0.0277,0.66,16.0,0,0.00277,29.5,-50.5,663.5,432.9,535.9,2319696.153,2311913,0.429,1,0,2021
FRB20181018B,-9999,336.82,71.91,112.16,12.12,45.0,27.0,35.6,292.8,51.3,293.867,180.7,139.6,0.00098,0.0005,5.1,7.9,0,0.000478,7.3,-10.45,800.2,400.2,567.4,190120.496,183306,0.411,0,0,2021
FRB20181018A,-9999,17.03,51.55,125.57,-11.24,18.0,-9999.0,10.8,1132.2,12.9,1129.449,1008.5,999.7,0.03146,0.011,0.49,5.8,0,0.0085,0.6,0.4,800.2,400.2,800.2,948425.137,945434,0.393,0,0,2021
